anomaly,doc_id
1,DOC_00734
2,DOC_01687
3,DOC_00534
4,DOC_01389
5,DOC_00847
6,DOC_00083
7,DOC_00204
8,DOC_01498
9,DOC_00814
10,DOC_00547
11,DOC_01245
12,DOC_00502
13,DOC_01607
14,DOC_01877
15,DOC_01100
16,DOC_01602
17,DOC_01446
18,DOC_00951
19,DOC_00873
20,DOC_01516
21,DOC_00776
22,DOC_00756
23,DOC_00649
24,DOC_00003
25,DOC_00067
26,DOC_00340
27,DOC_01261
28,DOC_00609
29,DOC_01824
30,DOC_01371
31,DOC_01831
32,DOC_01045
33,DOC_02024
34,DOC_00372
35,DOC_00260
36,DOC_02089
37,DOC_00582
38,DOC_02043
39,DOC_01257
40,DOC_00445
41,DOC_01909
42,DOC_01503
43,DOC_00045
44,DOC_00228
45,DOC_01038
46,DOC_02062
47,DOC_00328
48,DOC_01751
49,DOC_00134
50,DOC_01517
