doc_id,label
DOC_00001,1
DOC_00002,6
DOC_00003,8
DOC_00004,6
DOC_00005,9
DOC_00006,0
DOC_00007,9
DOC_00008,6
DOC_00009,6
DOC_00010,6
DOC_00011,3
DOC_00012,7
DOC_00013,6
DOC_00014,0
DOC_00015,6
DOC_00016,6
DOC_00017,1
DOC_00018,0
DOC_00019,6
DOC_00020,5
DOC_00021,6
DOC_00022,0
DOC_00023,6
DOC_00024,6
DOC_00025,6
DOC_00026,6
DOC_00027,0
DOC_00028,0
DOC_00029,4
DOC_00030,1
DOC_00031,6
DOC_00032,6
DOC_00033,9
DOC_00034,6
DOC_00035,9
DOC_00036,9
DOC_00037,6
DOC_00038,6
DOC_00039,8
DOC_00040,6
DOC_00041,4
DOC_00042,1
DOC_00043,3
DOC_00044,6
DOC_00045,8
DOC_00046,6
DOC_00047,6
DOC_00048,6
DOC_00049,6
DOC_00050,1
DOC_00051,3
DOC_00052,6
DOC_00053,8
DOC_00054,6
DOC_00055,6
DOC_00056,6
DOC_00057,6
DOC_00058,6
DOC_00059,8
DOC_00060,6
DOC_00061,5
DOC_00062,3
DOC_00063,1
DOC_00064,6
DOC_00065,6
DOC_00066,1
DOC_00067,3
DOC_00068,3
DOC_00069,6
DOC_00070,8
DOC_00071,8
DOC_00072,2
DOC_00073,6
DOC_00074,4
DOC_00075,3
DOC_00076,6
DOC_00077,6
DOC_00078,9
DOC_00079,6
DOC_00080,8
DOC_00081,7
DOC_00082,9
DOC_00083,6
DOC_00084,2
DOC_00085,6
DOC_00086,3
DOC_00087,9
DOC_00088,6
DOC_00089,3
DOC_00090,6
DOC_00091,1
DOC_00092,5
DOC_00093,8
DOC_00094,3
DOC_00095,1
DOC_00096,4
DOC_00097,2
DOC_00098,3
DOC_00099,2
DOC_00100,1
DOC_00101,3
DOC_00102,6
DOC_00103,6
DOC_00104,3
DOC_00105,7
DOC_00106,6
DOC_00107,6
DOC_00108,1
DOC_00109,6
DOC_00110,9
DOC_00111,4
DOC_00112,8
DOC_00113,6
DOC_00114,3
DOC_00115,6
DOC_00116,6
DOC_00117,3
DOC_00118,1
DOC_00119,5
DOC_00120,6
DOC_00121,1
DOC_00122,6
DOC_00123,1
DOC_00124,0
DOC_00125,3
DOC_00126,6
DOC_00127,1
DOC_00128,6
DOC_00129,3
DOC_00130,6
DOC_00131,3
DOC_00132,5
DOC_00133,0
DOC_00134,3
DOC_00135,6
DOC_00136,1
DOC_00137,6
DOC_00138,6
DOC_00139,9
DOC_00140,3
DOC_00141,0
DOC_00142,0
DOC_00143,1
DOC_00144,6
DOC_00145,6
DOC_00146,6
DOC_00147,5
DOC_00148,6
DOC_00149,8
DOC_00150,4
DOC_00151,4
DOC_00152,6
DOC_00153,1
